CONSECUTIVO,CATEGORIA,TIPO ACTIVO,ESTADO FISICO,RESPONSABLE,MARCA / MODELO,DESCRIPCION,CODIGO BARRAS PENDULUM,UBICACION FISICA,SERIE DEL EQUIPO,OBSERVACIONES,NUMERO DE FACTURA,FECHA DE COMPRA,IDPROVEEDOR,,,
1,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500 ,21894,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
2,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500 ,21895,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
3,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21896,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
4,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21897,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
5,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21898,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
6,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21899,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
7,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21900,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
8,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21901,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
9,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21902,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
10,EQUIPO DE COMPUTO,CPU,492,353,Hip-Hop/Hip-Hop,EQUIPOS AMD A6 GIGABYTE RAM 4 GBS HDD 500,21903,10,,,402646689,07/11/2017,P001554,,",","Insert into PENDUPM.INVENTARIOMAIN(IDINVENTARIO,  IDAREAPRODUCTO, IDPRODUCTO, IDSUBGRUPO, IDPROPIETARIOS, IDSUCURSAL, IDUBICACION, IDMOTIVOMOVTO, IDPROVEEDOR, IDSTATUS, IDRESULTADOVALORACION, IDRESPONSABLE, FCCODIGOBARRAS, NMDESCRIPCION, FCCAJA, FCBUSQUEDA, FDFECREGISTRO, FDFECULTMOVTO, FDFECULTVALORACION, FCCODBAREXPED, FDFECPRESTAMO, FDFECDEVOLUCION, FDFECGESTIONADO, IDDESPACHO, FDDESPACHOGESTION, FCSTATUSGESTION, FCREINSERCION, FDFECREINSERCION, FCLWASOCIA, FCCALIFICACION, IDFOLIOCARGA, IDPROVEEDORACTIVOS, FCFACTURA, FDCOMPRAACTIVO) Values (PENDUPM.SEQINVENTARIOMAIN.NEXTVAL, 270,68, 270, NULL, 1, 102, 275, 'NOTIENE' ,68,NULL,353, '21980', 'Diadema', 'Diadema', 'Diadema',  TO_DATE('11/16/2017 11:02:20', 'MM/DD/YYYY HH24:MI:SS'), TO_DATE('11/16/2017 15:52:23', 'MM/DD/YYYY HH24:MI:SS'), NULL,NULL, NULL, NULL, NULL, '68',NULL, NULL, NULL, NULL, NULL,NULL,171, NULL, '43076' , 'CargaMasiva11');  "
